Frame,Opponent x,Opponent y,AI x,AI y,Opponent Facing,AI Facing,Opponent Action,AI Action,Opponent Action Frame,AI Action Frame,Opponent Jumps Left,AI Jumps Left,Opponent Stock,AI Stock,Opponent Percent,AI Percent,Buttons Pressed,Notes,Frame Process Time
-123,42.0,28.0,-42.0,26.6,False,True,Action.ENTRY,Action.ENTRY,-1,-1,1,1,4,4,0,0,,,
-122,42.0,28.0,-42.0,26.6,False,True,Action.ENTRY,Action.ENTRY,-1,-1,1,1,4,4,0,0,,,
-121,42.0,28.0,-42.0,26.6,False,True,Action.ENTRY,Action.ENTRY,-1,-1,1,1,4,4,0,0,,,
