section,id,experiment,file,run_id,wandb_url,lineage_parent,variant,val_metric_name,val_metric,val_action_metric,net_stock_lcb,net_damage_lcb,closed_loop_source,boots,matches,crashes,total_params,policy_params,model_context,effective_batch,update_steps,samples,train_pf_6nt,replan_p50_ms,replan_p95_ms,control,hyperparam_or_flops_mismatch
factorization_matrix_eval,D2-H4-built-in,037,experiments/037_factorization_matrix.py,50q39o9j,https://wandb.ai/ericyuegu/hal/runs/50q39o9j,D2-train,H4 built-in p32 runtime failure,val/primary_nll,1.181880705906221,,,,R2 replays/final_h4/metrics.json; no gameplay,0_complete_of_96_scheduled,0,96,7147504,7081711,d256-L8-h4-context128-temporal128x2-exec4,512,16384,8388608,46.047,,,runtime failure; not architecture evidence,max_parallel32 > cpus16; zero decode calls
factorization_matrix_eval,D2-H6-built-in,037,experiments/037_factorization_matrix.py,50q39o9j,https://wandb.ai/ericyuegu/hal/runs/50q39o9j,D2-train,H6 built-in p32 runtime failure,val/primary_nll,1.181880705906221,,,,R2 replays/final_h6/metrics.json; no gameplay,0_complete_of_96_scheduled,0,96,7147504,7081711,d256-L8-h4-context128-temporal128x2-exec6,512,16384,8388608,46.047,,,runtime failure; not architecture evidence,max_parallel32 > cpus16; zero decode calls
factorization_matrix_eval,D2-H1-selected,037,experiments/037_factorization_matrix.py,50q39o9j,https://wandb.ai/ericyuegu/hal/runs/50q39o9j,D2-train,H1 selected p16 repair,val/primary_nll,1.181880705906221,change_f1=0.2068410366773605;exact=0.5992729067802429;dense1=0.7969798445701599,-0.3176358706657565,20.52296313112823,R2 replays/final_h1_p16-repair/metrics.json plus original W&B,96,102,0,7147504,7081711,d256-L8-h4-context128-temporal128x2-exec1,512,16384,8388608,46.047,5.212175000053776,5.456947199991191,D2 H1,eval-only p16 repair; unchanged final checkpoint
factorization_matrix_eval,D2-H2-selected,037,experiments/037_factorization_matrix.py,50q39o9j,https://wandb.ai/ericyuegu/hal/runs/50q39o9j,D2-train,H2 selected p16 repair,val/primary_nll,1.181880705906221,change_f1=0.2068410366773605;exact=0.5992729067802429;dense2=0.6610738039016724,-0.2066357749978516,18.69060237153826,R2 replays/final_h2_p16-repair/metrics.json plus original W&B,96,104,0,7147504,7081711,d256-L8-h4-context128-temporal128x2-exec2,512,16384,8388608,46.047,6.839378500046678,7.870048050079959,D2 H2,eval-only p16 repair; unchanged final checkpoint
factorization_matrix_eval,D2-H4-selected,037,experiments/037_factorization_matrix.py,50q39o9j,https://wandb.ai/ericyuegu/hal/runs/50q39o9j,D2-train,H4 selected p16 repair,val/primary_nll,1.181880705906221,change_f1=0.2068410366773605;exact=0.5992729067802429;dense4=0.5008389353752136,-0.3305674178196044,10.387405013226772,R2 replays/final_h4_p16-repair/metrics.json plus original W&B,96,102,0,7147504,7081711,d256-L8-h4-context128-temporal128x2-exec4,512,16384,8388608,46.047,9.43914549998226,9.650807899976144,D2 H4 main result,eval-only p16 repair; unchanged final checkpoint
factorization_matrix_eval,D2-H6-selected,037,experiments/037_factorization_matrix.py,50q39o9j,https://wandb.ai/ericyuegu/hal/runs/50q39o9j,D2-train,H6 selected p16 repair,val/primary_nll,1.181880705906221,change_f1=0.2068410366773605;exact=0.5992729067802429;dense6=0.3959731459617615,-0.3836558142312868,7.120480496745962,R2 replays/final_h6_p16-repair/metrics.json plus original W&B,96,103,0,7147504,7081711,d256-L8-h4-context128-temporal128x2-exec6,512,16384,8388608,46.047,12.666367500003162,13.700415000101884,D2 H6,eval-only p16 repair; unchanged final checkpoint
factorization_matrix_eval,D3-H1-built-in,037,experiments/037_factorization_matrix.py,5wfk2esf,https://wandb.ai/ericyuegu/hal/runs/5wfk2esf,D3-train,H1 built-in p32 runtime failure,val/primary_nll,1.182139075818879,,,,R2 replays/final_h1/metrics.json; no gameplay,0_complete_of_96_scheduled,0,96,7147504,7081711,d256-L8-h4-context128-temporal128x2-exec1,512,16384,8388608,46.047,,,runtime failure; not architecture evidence,max_parallel32 > cpus16; zero decode calls
factorization_matrix_eval,D3-H2-built-in,037,experiments/037_factorization_matrix.py,5wfk2esf,https://wandb.ai/ericyuegu/hal/runs/5wfk2esf,D3-train,H2 built-in p32 runtime failure,val/primary_nll,1.182139075818879,,,,R2 replays/final_h2/metrics.json; no gameplay,0_complete_of_96_scheduled,0,96,7147504,7081711,d256-L8-h4-context128-temporal128x2-exec2,512,16384,8388608,46.047,,,runtime failure; not architecture evidence,max_parallel32 > cpus16; zero decode calls
factorization_matrix_eval,D3-H4-built-in,037,experiments/037_factorization_matrix.py,5wfk2esf,https://wandb.ai/ericyuegu/hal/runs/5wfk2esf,D3-train,H4 built-in p32 runtime failure,val/primary_nll,1.182139075818879,,,,R2 replays/final_h4/metrics.json; no gameplay,0_complete_of_96_scheduled,0,96,7147504,7081711,d256-L8-h4-context128-temporal128x2-exec4,512,16384,8388608,46.047,,,runtime failure; not architecture evidence,max_parallel32 > cpus16; zero decode calls
factorization_matrix_eval,D3-H6-built-in,037,experiments/037_factorization_matrix.py,5wfk2esf,https://wandb.ai/ericyuegu/hal/runs/5wfk2esf,D3-train,H6 built-in p32 runtime failure,val/primary_nll,1.182139075818879,,,,R2 replays/final_h6/metrics.json; no gameplay,0_complete_of_96_scheduled,0,96,7147504,7081711,d256-L8-h4-context128-temporal128x2-exec6,512,16384,8388608,46.047,,,runtime failure; not architecture evidence,max_parallel32 > cpus16; zero decode calls
factorization_matrix_eval,D3-H1-selected,037,experiments/037_factorization_matrix.py,5wfk2esf,https://wandb.ai/ericyuegu/hal/runs/5wfk2esf,D3-train,H1 selected p16 repair,val/primary_nll,1.182139075818879,change_f1=0.21256038546562195;exact=0.5988534688949585;dense1=0.7953020334243774,-0.0740338952931697,28.102373444127338,R2 replays/final_h1_p16-repair/metrics.json plus original W&B,96,99,0,7147504,7081711,d256-L8-h4-context128-temporal128x2-exec1,512,16384,8388608,46.047,5.361675499955254,5.561862800016115,D3 H1,eval-only p16 repair; unchanged final checkpoint
factorization_matrix_eval,D3-H2-selected,037,experiments/037_factorization_matrix.py,5wfk2esf,https://wandb.ai/ericyuegu/hal/runs/5wfk2esf,D3-train,H2 selected p16 repair,val/primary_nll,1.182139075818879,change_f1=0.21256038546562195;exact=0.5988534688949585;dense2=0.6602349281311035,-0.14282532902033102,22.492935174693866,R2 replays/final_h2_p16-repair/metrics.json plus original W&B,96,105,0,7147504,7081711,d256-L8-h4-context128-temporal128x2-exec2,512,16384,8388608,46.047,6.939389000024221,7.445268899994062,D3 H2,eval-only p16 repair; unchanged final checkpoint
factorization_matrix_eval,D3-H4-selected,037,experiments/037_factorization_matrix.py,5wfk2esf,https://wandb.ai/ericyuegu/hal/runs/5wfk2esf,D3-train,H4 selected p16 repair,val/primary_nll,1.182139075818879,change_f1=0.21256038546562195;exact=0.5988534688949585;dense4=0.4991610646247864,-0.25044704145058305,15.656844308306653,R2 replays/final_h4_p16-repair/metrics.json plus original W&B,96,106,0,7147504,7081711,d256-L8-h4-context128-temporal128x2-exec4,512,16384,8388608,46.047,10.339831000010236,10.53102050001371,D3 H4 main result,eval-only p16 repair; unchanged final checkpoint
factorization_matrix_eval,D3-H6-selected,037,experiments/037_factorization_matrix.py,5wfk2esf,https://wandb.ai/ericyuegu/hal/runs/5wfk2esf,D3-train,H6 selected p16 repair,val/primary_nll,1.182139075818879,change_f1=0.21256038546562195;exact=0.5988534688949585;dense6=0.3976510167121887,-0.16442588931146487,17.781052494531238,R2 replays/final_h6_p16-repair/metrics.json plus original W&B,96,100,0,7147504,7081711,d256-L8-h4-context128-temporal128x2-exec6,512,16384,8388608,46.047,13.416244000040933,14.252924099974962,D3 H6,eval-only p16 repair; unchanged final checkpoint
